Tissue,Balanced,A.suppressed,B.suppressed,D.suppressed,A.dominant,B.dominant,D.dominant
aleurone,0.67,0.09,0.07,0.07,0.03,0.04,0.03
aleurone layer and starchy endosperm,0.71,0.08,0.07,0.06,0.03,0.03,0.02
endosperm,0.73,0.08,0.07,0.06,0.02,0.02,0.02
flag leaf,0.70,0.08,0.07,0.06,0.03,0.03,0.03
grain hard dough and ripening,0.62,0.10,0.09,0.07,0.04,0.04,0.04
grain milk and soft dough,0.75,0.07,0.07,0.05,0.02,0.02,0.02
internode,0.78,0.06,0.06,0.04,0.02,0.02,0.02
leaf excl flag leaf,0.76,0.06,0.07,0.05,0.02,0.02,0.02
rachis,0.69,0.08,0.08,0.06,0.03,0.03,0.03
roots,0.78,0.06,0.06,0.04,0.02,0.02,0.02
seedling aerial tissues,0.78,0.06,0.06,0.04,0.02,0.02,0.02
spike,0.77,0.06,0.06,0.05,0.02,0.02,0.02
stigma & ovary,0.63,0.09,0.10,0.08,0.03,0.04,0.03
transfer cells,0.72,0.08,0.08,0.06,0.02,0.02,0.02
vegetative aerial tissues,0.76,0.07,0.06,0.05,0.02,0.02,0.02
